"year","month","trt","tariff","stimulus","kwh"
2009,7,0,"E","E",166136.0975
2009,8,0,"E","E",298883.659
2009,9,0,"E","E",295948.5455
2009,10,0,"E","E",326819.2665
2009,11,0,"E","E",352309.0655
2009,12,0,"E","E",417189.0285
2010,1,0,"E","E",415178.215
2010,2,0,"E","E",337702.82
2010,3,0,"E","E",340779.761
2010,4,0,"E","E",298682.4205
2010,5,0,"E","E",296436.386
2010,6,0,"E","E",274560.924
2010,7,0,"E","E",286085.9395
2010,8,0,"E","E",291935.5485
2010,9,0,"E","E",296835.5175
2010,10,0,"E","E",323260.7355
2010,11,0,"E","E",353557.358
2010,12,0,"E","E",442626.8535
2009,7,1,"A","4",55220.9725
2009,8,1,"A","4",99677.112
2009,9,1,"A","4",98871.332
2009,10,1,"A","4",109951.7575
2009,11,1,"A","4",118638.948
2009,12,1,"A","4",142776.291
2010,1,1,"A","4",134127.7355
2010,2,1,"A","4",109617.255
2010,3,1,"A","4",112662.1285
2010,4,1,"A","4",98913.951
2010,5,1,"A","4",96526.104
2010,6,1,"A","4",88932.8605
2010,7,1,"A","4",92923.965
2010,8,1,"A","4",94725.781
2010,9,1,"A","4",96471.693
2010,10,1,"A","4",104870.179
2010,11,1,"A","4",113769.0495
2010,12,1,"A","4",141144.3395
