"year","month","trt","tariff","stimulus","kwh"
2009,7,0,"E","E",166136.0975
2009,8,0,"E","E",298883.659
2009,9,0,"E","E",295948.5455
2009,10,0,"E","E",326819.2665
2009,11,0,"E","E",352309.0655
2009,12,0,"E","E",417189.0285
2010,1,0,"E","E",415178.215
2010,2,0,"E","E",337702.82
2010,3,0,"E","E",340779.761
2010,4,0,"E","E",298682.4205
2010,5,0,"E","E",296436.386
2010,6,0,"E","E",274560.924
2010,7,0,"E","E",286085.9395
2010,8,0,"E","E",291935.5485
2010,9,0,"E","E",296835.5175
2010,10,0,"E","E",323260.7355
2010,11,0,"E","E",353557.358
2010,12,0,"E","E",442626.8535
2009,7,1,"B","2",21302.4865
2009,8,1,"B","2",38505.729
2009,9,1,"B","2",38064.468
2009,10,1,"B","2",41691.644
2009,11,1,"B","2",44137.68
2009,12,1,"B","2",50865.807
2010,1,1,"B","2",46769.484
2010,2,1,"B","2",40863.264
2010,3,1,"B","2",42463.071
2010,4,1,"B","2",36744.317
2010,5,1,"B","2",36577.606
2010,6,1,"B","2",35308.9595
2010,7,1,"B","2",36336.45
2010,8,1,"B","2",36611.764
2010,9,1,"B","2",37154.7975
2010,10,1,"B","2",38953.8665
2010,11,1,"B","2",41534.558
2010,12,1,"B","2",51098.501
