"year","month","trt","tariff","stimulus","kwh"
2009,7,0,"E","E",166136.0975
2009,8,0,"E","E",298883.659
2009,9,0,"E","E",295948.5455
2009,10,0,"E","E",326819.2665
2009,11,0,"E","E",352309.0655
2009,12,0,"E","E",417189.0285
2010,1,0,"E","E",415178.215
2010,2,0,"E","E",337702.82
2010,3,0,"E","E",340779.761
2010,4,0,"E","E",298682.4205
2010,5,0,"E","E",296436.386
2010,6,0,"E","E",274560.924
2010,7,0,"E","E",286085.9395
2010,8,0,"E","E",291935.5485
2010,9,0,"E","E",296835.5175
2010,10,0,"E","E",323260.7355
2010,11,0,"E","E",353557.358
2010,12,0,"E","E",442626.8535
2009,7,1,"C","3",54330.9595
2009,8,1,"C","3",96766.711
2009,9,1,"C","3",97405.0515
2009,10,1,"C","3",107067.9805
2009,11,1,"C","3",114288.0975
2009,12,1,"C","3",133106.1065
2010,1,1,"C","3",123444.9755
2010,2,1,"C","3",103800.342
2010,3,1,"C","3",106193.0155
2010,4,1,"C","3",93805.393
2010,5,1,"C","3",93571.13
2010,6,1,"C","3",88159.935
2010,7,1,"C","3",92535.2715
2010,8,1,"C","3",93763.8335
2010,9,1,"C","3",94751.6175
2010,10,1,"C","3",103719.8195
2010,11,1,"C","3",111134.6915
2010,12,1,"C","3",138264.2205
