"year","month","trt","tariff","stimulus","kwh"
2009,7,0,"E","E",166136.0975
2009,8,0,"E","E",298883.659
2009,9,0,"E","E",295948.5455
2009,10,0,"E","E",326819.2665
2009,11,0,"E","E",352309.0655
2009,12,0,"E","E",417189.0285
2010,1,0,"E","E",415178.215
2010,2,0,"E","E",337702.82
2010,3,0,"E","E",340779.761
2010,4,0,"E","E",298682.4205
2010,5,0,"E","E",296436.386
2010,6,0,"E","E",274560.924
2010,7,0,"E","E",286085.9395
2010,8,0,"E","E",291935.5485
2010,9,0,"E","E",296835.5175
2010,10,0,"E","E",323260.7355
2010,11,0,"E","E",353557.358
2010,12,0,"E","E",442626.8535
2009,7,1,"D","1",20418.734
2009,8,1,"D","1",36608.4195
2009,9,1,"D","1",35742.621
2009,10,1,"D","1",38914.5145
2009,11,1,"D","1",41866.263
2009,12,1,"D","1",49314.5215
2010,1,1,"D","1",48240.956
2010,2,1,"D","1",40004.737
2010,3,1,"D","1",39951.0275
2010,4,1,"D","1",35041.3615
2010,5,1,"D","1",35579.718
2010,6,1,"D","1",33586.514
2010,7,1,"D","1",35759.0265
2010,8,1,"D","1",35816.4865
2010,9,1,"D","1",35406.6705
2010,10,1,"D","1",38481.865
2010,11,1,"D","1",41334.3665
2010,12,1,"D","1",52088.7905
