"year","month","trt","tariff","stimulus","kwh"
2009,7,0,"E","E",166136.0975
2009,8,0,"E","E",298883.659
2009,9,0,"E","E",295948.5455
2009,10,0,"E","E",326819.2665
2009,11,0,"E","E",352309.0655
2009,12,0,"E","E",417189.0285
2010,1,0,"E","E",415178.215
2010,2,0,"E","E",337702.82
2010,3,0,"E","E",340779.761
2010,4,0,"E","E",298682.4205
2010,5,0,"E","E",296436.386
2010,6,0,"E","E",274560.924
2010,7,0,"E","E",286085.9395
2010,8,0,"E","E",291935.5485
2010,9,0,"E","E",296835.5175
2010,10,0,"E","E",323260.7355
2010,11,0,"E","E",353557.358
2010,12,0,"E","E",442626.8535
2009,7,1,"W","W",17304.9435
2009,8,1,"W","W",30147.665
2009,9,1,"W","W",30200.6575
2009,10,1,"W","W",33603.646
2009,11,1,"W","W",34335.87
2009,12,1,"W","W",39461.2685
2010,1,1,"W","W",39004.363
2010,2,1,"W","W",31935.7115
2010,3,1,"W","W",32153.149
2010,4,1,"W","W",28000.637
2010,5,1,"W","W",29396.3565
2010,6,1,"W","W",26871.9645
2010,7,1,"W","W",27328.103
2010,8,1,"W","W",27980.1775
2010,9,1,"W","W",28954.8105
2010,10,1,"W","W",32075.088
2010,11,1,"W","W",33696.851
2010,12,1,"W","W",42432.874
