"year","month","trt","V1","tariff","stimulus","kwh"
2009,7,0,1002,"E","E",73.314
2009,7,0,1014,"E","E",266.2405
2009,7,0,1018,"E","E",396.3095
2009,7,0,1022,"E","E",108.2275
2009,7,0,1027,"E","E",75.7625
2009,7,0,1030,"E","E",133.1075
2009,7,0,1035,"E","E",70.408
2009,7,0,1036,"E","E",90.186
2009,7,0,1058,"E","E",137.959
2009,7,0,1059,"E","E",333.171
2009,7,0,1060,"E","E",73.0655
2009,7,0,1073,"E","E",392.0485
2009,7,0,1074,"E","E",89.3765
2009,7,0,1076,"E","E",172.632
2009,7,0,1107,"E","E",191.2995
2009,7,0,1119,"E","E",330.725
2009,7,0,1120,"E","E",20.5645
2009,7,0,1130,"E","E",279.7705
2009,7,0,1141,"E","E",294.2015
2009,7,0,1144,"E","E",232.8025
2009,7,0,1157,"E","E",244.512
2009,7,0,1164,"E","E",293.26
2009,7,0,1171,"E","E",356.738
2009,7,0,1176,"E","E",251.518
2009,7,0,1179,"E","E",76.1575
2009,7,0,1207,"E","E",136.0695
2009,7,0,1212,"E","E",194.182
2009,7,0,1217,"E","E",370.4245
2009,7,0,1225,"E","E",138.0425
2009,7,0,1229,"E","E",293.8745
2009,7,0,1239,"E","E",213.9895
2009,7,0,1240,"E","E",226.65
2009,7,0,1246,"E","E",396.7245
2009,7,0,1255,"E","E",141.1475
2009,7,0,1257,"E","E",141.501
2009,7,0,1262,"E","E",80.535
2009,7,0,1268,"E","E",120.346
2009,7,0,1274,"E","E",136.0955
2009,7,0,1277,"E","E",23.5785
2009,7,0,1281,"E","E",246.3305
2009,7,0,1286,"E","E",179.399
2009,7,0,1294,"E","E",189.3645
2009,7,0,1301,"E","E",229.054
2009,7,0,1312,"E","E",28.0165
2009,7,0,1316,"E","E",50.3365
2009,7,0,1317,"E","E",191.208
2009,7,0,1331,"E","E",162.432
2009,7,0,1336,"E","E",302.376
2009,7,0,1354,"E","E",85.3195
2009,7,0,1364,"E","E",120.7655
2009,7,0,1365,"E","E",124.108
2009,7,0,1371,"E","E",343.0655
2009,7,0,1376,"E","E",243.9815
2009,7,0,1379,"E","E",128.3515
2009,7,0,1388,"E","E",74.763
2009,7,0,1425,"E","E",219.4665
2009,7,0,1428,"E","E",180.8785
2009,7,0,1435,"E","E",82.908
2009,7,0,1440,"E","E",108.362
2009,7,0,1463,"E","E",176.1095
2009,7,0,1466,"E","E",196.79
2009,7,0,1480,"E","E",88.594
2009,7,0,1492,"E","E",41.335
2009,7,0,1494,"E","E",380.1005
2009,7,0,1498,"E","E",246.799
2009,7,0,1502,"E","E",154.147
2009,7,0,1505,"E","E",121.745
2009,7,0,1507,"E","E",64.27
2009,7,0,1517,"E","E",147.752
2009,7,0,1530,"E","E",84.327
2009,7,0,1532,"E","E",268.2845
2009,7,0,1537,"E","E",235.935
2009,7,0,1539,"E","E",346.272
2009,7,0,1546,"E","E",36.028
2009,7,0,1548,"E","E",229.334
2009,7,0,1551,"E","E",113.8335
2009,7,0,1561,"E","E",259.636
