"","year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
"1",2009,7,14,0,"E","E",9.96398869752422,6.37181833269785,929
"2",2009,7,15,0,"E","E",9.69701506996771,6.21462469016781,929
"3",2009,7,16,0,"E","E",9.61670021528525,5.97889731945031,929
"4",2009,7,17,0,"E","E",9.56604682454252,6.11880354906063,929
"5",2009,7,18,0,"E","E",10.3606108719053,6.71241995048591,929
"6",2009,7,19,0,"E","E",10.2183954741379,6.62444579342066,928
"7",2009,7,20,0,"E","E",9.71432974137931,6.22833281941357,928
"8",2009,7,21,0,"E","E",9.64820505920344,6.05568208252181,929
"9",2009,7,22,0,"E","E",9.79545102260495,6.18514652194013,929
"10",2009,7,23,0,"E","E",9.66877287405813,6.07527272106524,929
"11",2009,7,24,0,"E","E",9.6482125941873,6.29141776461938,929
"12",2009,7,25,0,"E","E",10.4721851453175,6.80828982785076,929
"13",2009,7,26,0,"E","E",10.3960581270183,6.73361172235499,929
"14",2009,7,27,0,"E","E",10.0622233584499,6.30390069423043,929
"15",2009,7,28,0,"E","E",10.0312857911733,6.40945678244974,929
"16",2009,7,29,0,"E","E",10.0647981700753,6.26323469221022,929
"17",2009,7,30,0,"E","E",9.69682131324004,6.0850333612371,929
"18",2009,7,31,0,"E","E",10.2336146393972,6.62695914672572,929
"19",2009,8,1,0,"E","E",10.6564768568353,7.12417809837173,929
"20",2009,8,2,0,"E","E",10.5534514563107,7.35430209282152,927
"21",2009,8,3,0,"E","E",10.647713362069,7.06948788491549,928
"22",2009,8,4,0,"E","E",9.95494660194175,6.26453853821394,927
"23",2009,8,5,0,"E","E",9.84279364224138,5.8559876175175,928
"24",2009,8,6,0,"E","E",9.73122246220302,5.90602121051946,926
"25",2009,8,7,0,"E","E",9.67120140388769,5.76782248519699,926
"26",2009,8,8,0,"E","E",10.2169940732759,6.62613906315503,928
"27",2009,8,9,0,"E","E",10.5755457974138,7.17780633392388,928
"28",2009,8,10,0,"E","E",10.0109230355221,6.51000264374773,929
"29",2009,8,11,0,"E","E",10.1129203444564,6.65970551503508,929
"30",2009,8,12,0,"E","E",10.1159138858988,6.76739867629132,929
"31",2009,8,13,0,"E","E",9.86280678148547,6.15457194498873,929
"32",2009,8,14,0,"E","E",10.1891899892357,6.54566956166218,929
"33",2009,8,15,0,"E","E",10.5636524784483,6.93700798721201,928
"34",2009,8,16,0,"E","E",10.9164816810345,7.28234715333539,928
"35",2009,8,17,0,"E","E",10.0676496232508,6.45624424418096,929
"36",2009,8,18,0,"E","E",10.2446185344828,6.70966641239741,928
"37",2009,8,19,0,"E","E",10.4844671336207,6.84412319814597,928
"38",2009,8,20,0,"E","E",10.3810996767241,6.87859228789083,928
"39",2009,8,21,0,"E","E",10.1122923408846,6.60624174115073,927
"40",2009,8,22,0,"E","E",11.0725113390929,7.15064542009498,926
"41",2009,8,23,0,"E","E",11.0193475675676,7.25535402627221,925
"42",2009,8,24,0,"E","E",10.5475485436893,6.65499221287843,927
"43",2009,8,25,0,"E","E",10.3953512931034,6.41198190641191,928
"44",2009,8,26,0,"E","E",10.3992782561895,6.41195781827863,929
"45",2009,8,27,0,"E","E",10.3681702586207,6.66221963682671,928
"46",2009,8,28,0,"E","E",10.1492211434736,6.41121788858978,927
"47",2009,8,29,0,"E","E",10.8813871490281,7.15583559356388,926
"48",2009,8,30,0,"E","E",11.5108963282937,7.46234519176997,926
"49",2009,8,31,0,"E","E",10.9221937567277,6.83515420125068,929
"50",2009,9,1,0,"E","E",10.5786578663793,6.52641148807481,928
"51",2009,9,2,0,"E","E",10.9620614224138,6.77148082374786,928
"52",2009,9,3,0,"E","E",10.5127788565264,6.61871247688632,927
"53",2009,9,4,0,"E","E",10.3317853290183,6.18210391122645,927
"54",2009,9,5,0,"E","E",11.3026078748652,7.49943654144859,927
"55",2009,9,6,0,"E","E",11.7068028017241,7.4977512108612,928
"56",2009,9,7,0,"E","E",10.4998353067815,6.30238635041647,929
"57",2009,9,8,0,"E","E",10.5630307443366,6.43561652451571,927
"58",2009,9,9,0,"E","E",10.2123040904198,6.10903082056743,929
"59",2009,9,10,0,"E","E",10.1014617868676,6.1504633791205,929
"60",2009,9,11,0,"E","E",9.93437674919268,5.83550565408293,929
"61",2009,9,12,0,"E","E",10.6998744612069,6.88218496651284,928
"62",2009,9,13,0,"E","E",10.8777424406048,6.97223873549038,926
"63",2009,9,14,0,"E","E",10.2604590517241,6.38680118734158,928
"64",2009,9,15,0,"E","E",10.4020581896552,6.39254027032458,928
"65",2009,9,16,0,"E","E",10.1132362459547,6.07176110205373,927
"66",2009,9,17,0,"E","E",10.2520539956803,6.33517570411004,926
"67",2009,9,18,0,"E","E",10.3281348435814,6.16539026769303,927
"68",2009,9,19,0,"E","E",11.2539870410367,7.23842229893156,926
"69",2009,9,20,0,"E","E",11.6910453563715,7.70071179434487,926
"70",2009,9,21,0,"E","E",10.3903475215517,6.29486428631657,928
"71",2009,9,22,0,"E","E",10.4357359913793,6.26536939197734,928
"72",2009,9,23,0,"E","E",10.2768993541442,6.0371299976168,929
"73",2009,9,24,0,"E","E",10.1731996770721,6.32788880667853,929
"74",2009,9,25,0,"E","E",10.2970602798708,6.38139672263052,929
"75",2009,9,26,0,"E","E",11.4093869752422,7.24034303598239,929
"76",2009,9,27,0,"E","E",11.5584822389666,7.18850773178795,929
"77",2009,9,28,0,"E","E",10.7022298170075,6.52035997171619,929
"78",2009,9,29,0,"E","E",10.6699149623251,6.42095399380013,929
"79",2009,9,30,0,"E","E",10.439487621098,6.16907502778106,929
"80",2009,10,1,0,"E","E",10.5087820236814,6.2562717469316,929
"81",2009,10,2,0,"E","E",10.7265775026911,6.3701051170683,929
"82",2009,10,3,0,"E","E",11.8855662002153,7.38312883860161,929
"83",2009,10,4,0,"E","E",11.9761939655172,7.41410510079377,928
"84",2009,10,5,0,"E","E",10.6519833153929,6.2188023478122,929
"85",2009,10,6,0,"E","E",10.8977330462863,6.450933751978,929
"86",2009,10,7,0,"E","E",10.7305113024758,6.42841736344436,929
