"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"A","1",10.5182971530249,6.20018363205528,281
2009,7,15,1,"A","1",10.4511049822064,6.43056252375911,281
2009,7,16,1,"A","1",10.0257491103203,6.09194798764328,281
2009,7,17,1,"A","1",9.73830604982206,6.13531645742782,281
2009,7,18,1,"A","1",10.872128113879,6.70568963319527,281
2009,7,19,1,"A","1",10.5216565836299,6.79306887875174,281
2009,7,20,1,"A","1",10.3390213523132,6.35083218882485,281
2009,7,21,1,"A","1",10.2837419928826,6.48372348187711,281
2009,7,22,1,"A","1",10.1366049822064,6.65212930039081,281
2009,7,23,1,"A","1",10.2551957295374,6.99015130858483,281
2009,7,24,1,"A","1",10.3520088967972,7.0516594845843,281
2009,7,25,1,"A","1",11.0317669039146,7.18027748667492,281
2009,7,26,1,"A","1",11.1826779359431,7.49530208509285,281
2009,7,27,1,"A","1",10.2924519572954,6.63323517036463,281
2009,7,28,1,"A","1",10.7718540925267,7.20171977663217,281
2009,7,29,1,"A","1",10.3098950177936,6.85091586712344,281
2009,7,30,1,"A","1",9.94155160142349,6.41996800517778,281
2009,7,31,1,"A","1",10.6459410714286,7.12235461027768,280
2009,8,1,1,"A","1",10.7520160714286,6.98899555501507,280
2009,8,2,1,"A","1",10.4441428571429,6.84658830463834,280
2009,8,3,1,"A","1",11.0388607142857,6.81438430704596,280
2009,8,4,1,"A","1",10.0688932384342,5.89777210608777,281
2009,8,5,1,"A","1",10.060628113879,5.92102848763501,281
2009,8,6,1,"A","1",9.56125800711744,5.62421039364146,281
2009,8,7,1,"A","1",9.50917793594306,5.78730774367593,281
2009,8,8,1,"A","1",10.6640498220641,6.99168025617961,281
2009,8,9,1,"A","1",10.8303879003559,6.88467107024181,281
2009,8,10,1,"A","1",10.5041690391459,6.28882197412334,281
2009,8,11,1,"A","1",10.1207117437722,6.07525820002481,281
2009,8,12,1,"A","1",10.1967864768683,6.39138671731859,281
2009,8,13,1,"A","1",9.98063523131673,6.10762520699717,281
2009,8,14,1,"A","1",10.5457099644128,6.45637427445381,281
2009,8,15,1,"A","1",10.5225462633452,6.4401734362456,281
2009,8,16,1,"A","1",11.0749804270463,7.33666064453089,281
2009,8,17,1,"A","1",10.5447526690391,6.61708504124537,281
2009,8,18,1,"A","1",10.7170836298932,6.98591428922327,281
2009,8,19,1,"A","1",10.6467793594306,6.70197525982353,281
2009,8,20,1,"A","1",10.5602046263345,6.9941269307296,281
2009,8,21,1,"A","1",10.5847526690391,6.83204779070681,281
2009,8,22,1,"A","1",11.309231316726,7.39021948071146,281
