"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"B","2",10.6590720720721,7.17485287649188,111
2009,7,15,1,"B","2",10.2196396396396,6.61754039729785,111
2009,7,16,1,"B","2",10.6598828828829,7.03775102021395,111
2009,7,17,1,"B","2",10.4939454545455,6.73677356191526,110
2009,7,18,1,"B","2",11.0971772727273,7.45200773623155,110
2009,7,19,1,"B","2",11.5461818181818,6.86350753862002,110
2009,7,20,1,"B","2",10.4442636363636,6.5562212155407,110
2009,7,21,1,"B","2",11.0408136363636,7.25490358083714,110
2009,7,22,1,"B","2",10.9602045454545,7.09784919073256,110
2009,7,23,1,"B","2",10.1393636363636,5.99009410101649,110
2009,7,24,1,"B","2",10.40995,6.13908699729211,110
2009,7,25,1,"B","2",11.2546409090909,6.78531929610877,110
2009,7,26,1,"B","2",11.27175,7.06620382030167,110
2009,7,27,1,"B","2",10.6618513513514,7.36442856006758,111
2009,7,28,1,"B","2",10.6932207207207,6.76428550271225,111
2009,7,29,1,"B","2",10.8178590909091,6.61942733780054,110
2009,7,30,1,"B","2",10.10685,6.06520187633421,110
2009,7,31,1,"B","2",10.6050405405405,6.69237825376923,111
2009,8,1,1,"B","2",10.9257681818182,6.70804412308351,110
2009,8,2,1,"B","2",11.5076090909091,7.23848841308312,110
2009,8,3,1,"B","2",10.6994774774775,6.81606405932718,111
2009,8,4,1,"B","2",11.0139363636364,7.1271333413679,110
2009,8,5,1,"B","2",10.6216136363636,6.50328996155979,110
2009,8,6,1,"B","2",10.4910909090909,6.21578868473753,110
2009,8,7,1,"B","2",10.1669234234234,6.08091344895059,111
2009,8,8,1,"B","2",11.203009009009,7.02902835422248,111
2009,8,9,1,"B","2",11.3845315315315,7.48011163816766,111
2009,8,10,1,"B","2",11.1184459459459,7.18438867815973,111
2009,8,11,1,"B","2",10.7226351351351,6.94802419493417,111
2009,8,12,1,"B","2",11.0018828828829,7.29507364345499,111
2009,8,13,1,"B","2",10.5279818181818,6.63317444065938,110
2009,8,14,1,"B","2",10.85535,6.90838671256994,110
2009,8,15,1,"B","2",11.9102590909091,8.04532873662855,110
2009,8,16,1,"B","2",11.6226727272727,7.15647377080898,110
2009,8,17,1,"B","2",10.8645545454545,6.78677049312523,110
2009,8,18,1,"B","2",10.5494594594595,7.72243211428273,111
2009,8,19,1,"B","2",11.1385900900901,7.97964606591449,111
2009,8,20,1,"B","2",11.2567136363636,7.45553103205907,110
2009,8,21,1,"B","2",10.4099363636364,6.4726029324132,110
2009,8,22,1,"B","2",11.6227909090909,6.17802641595574,110
2009,8,23,1,"B","2",12.1017409090909,7.04816294327228,110
2009,8,24,1,"B","2",12.3762409090909,8.09076327177299,110
2009,8,25,1,"B","2",11.8748636363636,7.41512666996951,110
2009,8,26,1,"B","2",11.3538363636364,7.26942874006771,110
2009,8,27,1,"B","2",11.1694954545455,6.71698904787295,110
2009,8,28,1,"B","2",12.0332090909091,7.79147441305395,110
2009,8,29,1,"B","2",11.9347162162162,7.56644785628742,111
2009,8,30,1,"B","2",12.3864009009009,8.73215454924546,111
2009,8,31,1,"B","2",11.9855135135135,8.16193748262447,111
2009,9,1,1,"B","2",11.7915135135135,7.70711991616119,111
2009,9,2,1,"B","2",12.141518018018,8.09843000551452,111
2009,9,3,1,"B","2",10.8081351351351,6.65194821972752,111
2009,9,4,1,"B","2",10.8497252252252,6.86319676103131,111
2009,9,5,1,"B","2",12.0627927927928,7.80241488155735,111
2009,9,6,1,"B","2",12.8696441441441,8.38807255744927,111
2009,9,7,1,"B","2",11.4269774774775,7.0727905651895,111
2009,9,8,1,"B","2",10.9494054054054,6.43941208655852,111
2009,9,9,1,"B","2",10.6995135135135,6.30455861062578,111
2009,9,10,1,"B","2",10.5313468468468,6.38879885274817,111
2009,9,11,1,"B","2",10.3685675675676,5.82365692065424,111
2009,9,12,1,"B","2",11.2052252252252,6.62752512040051,111
2009,9,13,1,"B","2",11.4654234234234,7.4026206036039,111
2009,9,14,1,"B","2",11.5728288288288,8.4204632069996,111
2009,9,15,1,"B","2",10.8756531531532,6.78413988176996,111
2009,9,16,1,"B","2",10.8469099099099,6.74235396113735,111
2009,9,17,1,"B","2",10.9584684684685,6.70324843919969,111
2009,9,18,1,"B","2",11.3590818181818,6.95683331403732,110
2009,9,19,1,"B","2",12.2233318181818,6.95206421239034,110
2009,9,20,1,"B","2",12.2924,7.49344302450268,110
2009,9,21,1,"B","2",11.4606545454545,7.29135646059974,110
2009,9,22,1,"B","2",11.2055363636364,6.69246012168298,110
2009,9,23,1,"B","2",11.1904181818182,6.75321208607303,110
2009,9,24,1,"B","2",11.6099409090909,7.54247199480036,110
2009,9,25,1,"B","2",11.0181126126126,7.27207339374551,111
2009,9,26,1,"B","2",12.492527027027,7.66677642666953,111
2009,9,27,1,"B","2",12.6001936936937,8.07086760210933,111
2009,9,28,1,"B","2",11.684972972973,7.83249721899897,111
2009,9,29,1,"B","2",11.9182882882883,7.71649199900316,111
2009,9,30,1,"B","2",11.1768333333333,7.82661947497517,111
2009,10,1,1,"B","2",11.1174864864865,6.99460837862066,111
2009,10,2,1,"B","2",11.4508918918919,7.67867366488789,111
2009,10,3,1,"B","2",12.418536036036,8.26041108120581,111
2009,10,4,1,"B","2",12.472463963964,8.06804235935372,111
2009,10,5,1,"B","2",11.680454954955,7.57104554252868,111
2009,10,6,1,"B","2",11.8481681818182,7.89959135840027,110
2009,10,7,1,"B","2",11.6238045454545,7.73988989298192,110
2009,10,8,1,"B","2",11.2348603603604,7.7707144047294,111
2009,10,9,1,"B","2",11.0905720720721,7.22685936686157,111
2009,10,10,1,"B","2",11.8465765765766,7.3206403117233,111
2009,10,11,1,"B","2",12.6963045454545,7.77969439569101,110
2009,10,12,1,"B","2",12.4158863636364,8.42061017005602,110
2009,10,13,1,"B","2",11.8061171171171,7.64056255037277,111
2009,10,14,1,"B","2",11.6352072072072,7.95064080564021,111
2009,10,15,1,"B","2",11.50185,7.7327224292393,110
2009,10,16,1,"B","2",11.0491136363636,7.35738916087026,110
2009,10,17,1,"B","2",12.4467090909091,8.00489609304624,110
2009,10,18,1,"B","2",12.8593636363636,7.78762419722457,110
2009,10,19,1,"B","2",12.1886409090909,7.9050000812782,110
2009,10,20,1,"B","2",12.4432909090909,7.56332237514542,110
2009,10,21,1,"B","2",12.0957,7.51193222745708,110
2009,10,22,1,"B","2",12.1759045454545,8.16670756525548,110
2009,10,23,1,"B","2",12.2199090909091,7.88042655180852,110
2009,10,24,1,"B","2",12.8603045454545,7.89406103412747,110
2009,10,25,1,"B","2",13.7453,8.67171420817458,110
2009,10,26,1,"B","2",13.3815636363636,8.92718167437458,110
2009,10,27,1,"B","2",13.0464409090909,8.35518197434729,110
2009,10,28,1,"B","2",11.9267909090909,7.80693574646659,110
2009,10,29,1,"B","2",12.7633954545455,8.4061881163359,110
2009,10,30,1,"B","2",12.4162318181818,8.16124860159594,110
2009,10,31,1,"B","2",13.4957136363636,8.94857206190239,110
2009,11,1,1,"B","2",14.1060727272727,8.44449114328236,110
2009,11,2,1,"B","2",12.5115636363636,7.93317199194064,110
2009,11,3,1,"B","2",13.0329636363636,7.59593613454809,110
