year,month,day,trt,tariff,stimulus,kwh_mean,kwh_sd,n
2009,7,14,1,B,3,10.14826923,6.718818234,104
2009,7,15,1,B,3,10.5373932,6.986611695,103
2009,7,16,1,B,3,10.55373301,6.911961894,103
2009,7,17,1,B,3,9.902776699,6.335477432,103
2009,7,18,1,B,3,11.10841827,8.155759138,104
2009,7,19,1,B,3,11.38497573,8.017763841,103
2009,7,20,1,B,3,10.5888125,6.790339541,104
2009,7,21,1,B,3,11.00302404,7.955426296,104
2009,7,22,1,B,3,10.32901456,6.860510078,103
2009,7,23,1,B,3,10.1772233,6.489670273,103
2009,7,24,1,B,3,9.951966019,5.945127208,103
2009,7,25,1,B,3,11.21159709,8.077766841,103
2009,7,26,1,B,3,11.32699515,8.398164501,103
2009,7,27,1,B,3,11.09722596,7.999818333,104
2009,7,28,1,B,3,10.87093204,6.941871726,103
2009,7,29,1,B,3,10.56975243,6.877157732,103
2009,7,30,1,B,3,11.01844175,7.95367642,103
2009,7,31,1,B,3,10.52989423,6.887145949,104
2009,8,1,1,B,3,10.62089904,7.817259907,104
2009,8,2,1,B,3,11.08848058,7.891836863,103
2009,8,3,1,B,3,11.63699029,7.58166378,103
2009,8,4,1,B,3,11.04035437,6.989589098,103
2009,8,5,1,B,3,11.25570388,7.570832415,103
2009,8,6,1,B,3,10.66134466,6.346235144,103
2009,8,7,1,B,3,10.83100481,7.935956796,104
2009,8,8,1,B,3,11.15472816,8.227252666,103
2009,8,9,1,B,3,11.10066346,7.105887978,104
2009,8,10,1,B,3,11.25410577,7.471210815,104
2009,8,11,1,B,3,11.12307692,7.017982853,104
2009,8,12,1,B,3,10.55790291,6.619560227,103
2009,8,13,1,B,3,11.40703883,7.924828713,103
2009,8,14,1,B,3,11.10831553,7.116403635,103
2009,8,15,1,B,3,11.27603883,8.470098062,103
2009,8,16,1,B,3,11.09612621,7.780050868,103
2009,8,17,1,B,3,10.68149519,7.208839243,104
2009,8,18,1,B,3,10.55519231,6.949179311,104
2009,8,19,1,B,3,11.14316505,7.220695891,103
2009,8,20,1,B,3,10.70651456,7.00894627,103
2009,8,21,1,B,3,10.68172596,7.606578557,104
2009,8,22,1,B,3,12.01504327,9.194265844,104
2009,8,23,1,B,3,12.20120192,9.114037502,104
2009,8,24,1,B,3,11.67917961,7.227859784,103
2009,8,25,1,B,3,11.79403883,7.921033099,103
2009,8,26,1,B,3,11.04137379,6.681271717,103
2009,8,27,1,B,3,10.94622115,6.431065455,104
2009,8,28,1,B,3,11.10451942,7.23147624,103
2009,8,29,1,B,3,11.72153398,7.404999036,103
2009,8,30,1,B,3,12.98184135,9.031483728,104
2009,8,31,1,B,3,11.20831731,7.155785831,104
2009,9,1,1,B,3,12.05337864,8.21616788,103
2009,9,2,1,B,3,12.07444175,7.487367708,103
2009,9,3,1,B,3,11.65554327,7.219752495,104
2009,9,4,1,B,3,11.11035096,7.336562319,104
2009,9,5,1,B,3,11.98950485,8.33243806,103
2009,9,6,1,B,3,12.1501068,8.706182543,103
2009,9,7,1,B,3,10.76991827,6.662394887,104
2009,9,8,1,B,3,10.86525481,6.570719616,104
2009,9,9,1,B,3,11.14795192,6.703734987,104
2009,9,10,1,B,3,10.87125243,6.52602454,103
2009,9,11,1,B,3,10.23365534,5.87707937,103
2009,9,12,1,B,3,11.31215865,7.350586742,104
2009,9,13,1,B,3,11.81991748,8.517840542,103
2009,9,14,1,B,3,10.92775728,6.884907284,103
2009,9,15,1,B,3,10.94601456,6.869587676,103
2009,9,16,1,B,3,11.19878641,6.551349894,103
2009,9,17,1,B,3,10.76201456,6.660551123,103
2009,9,18,1,B,3,10.85728641,6.571223505,103
2009,9,19,1,B,3,12.23774038,8.432019579,104
2009,9,20,1,B,3,12.25784951,7.704195477,103
2009,9,21,1,B,3,11.12290385,7.199029424,104
2009,9,22,1,B,3,11.11899519,7.0136023,104
2009,9,23,1,B,3,11.26404854,6.594810137,103
2009,9,24,1,B,3,11.31594712,7.699689834,104
2009,9,25,1,B,3,11.15434135,7.404552527,104
2009,9,26,1,B,3,12.34076699,7.762989065,103
2009,9,27,1,B,3,12.40595631,8.252247187,103
2009,9,28,1,B,3,11.02339423,6.3168113,104
2009,9,29,1,B,3,11.38522816,6.560247325,103
2009,9,30,1,B,3,11.27875962,6.239097609,104
2009,10,1,1,B,3,11.36041346,6.540296817,104
2009,10,2,1,B,3,10.86092308,6.790881959,104
2009,10,3,1,B,3,12.57402427,8.628939586,103
2009,10,4,1,B,3,13.19620673,9.156316014,104
2009,10,5,1,B,3,11.28102885,7.355382615,104
2009,10,6,1,B,3,11.98906731,7.788499861,104
2009,10,7,1,B,3,11.76603365,6.943105293,104
2009,10,8,1,B,3,11.74262621,6.911293275,103
2009,10,9,1,B,3,11.88753846,7.220379702,104
2009,10,10,1,B,3,12.78797087,8.105077995,103
2009,10,11,1,B,3,13.26103398,8.114582922,103
2009,10,12,1,B,3,11.70486058,6.890767834,104
2009,10,13,1,B,3,11.31909615,6.502139625,104
2009,10,14,1,B,3,11.82639904,6.595868126,104
2009,10,15,1,B,3,11.64535096,7.089112857,104
2009,10,16,1,B,3,11.48995192,6.77911963,104
2009,10,17,1,B,3,12.06101442,7.081195902,104
2009,10,18,1,B,3,12.34954854,8.271333674,103
2009,10,19,1,B,3,11.84878365,7.110378673,104
2009,10,20,1,B,3,12.14961058,7.838203999,104
2009,10,21,1,B,3,12.0608835,7.14351219,103
2009,10,22,1,B,3,11.82082524,7.029413205,103
2009,10,23,1,B,3,11.62427885,7.01999284,104
2009,10,24,1,B,3,12.35712136,8.429692783,103
2009,10,25,1,B,3,13.00984951,8.559177232,103
2009,10,26,1,B,3,13.1436165,8.46548994,103
2009,10,27,1,B,3,12.47656311,7.975958653,103
2009,10,28,1,B,3,12.21057282,7.874898462,103
2009,10,29,1,B,3,12.29580097,7.624225142,103
2009,10,30,1,B,3,12.89372115,7.731899003,104
2009,10,31,1,B,3,13.53141346,8.211870043,104
