"year","month","day","trt","tariff","stimulus","kwh_mean","kwh_sd","n"
2009,7,14,1,"W","W",11.8796104651163,10.0189491284093,86
2009,7,15,1,"W","W",11.3128081395349,8.77732795102333,86
2009,7,16,1,"W","W",11.454511627907,8.89487236292935,86
2009,7,17,1,"W","W",10.6060697674419,8.35286173826699,86
2009,7,18,1,"W","W",11.5469941860465,9.14459682078284,86
2009,7,19,1,"W","W",11.359011627907,8.74020805983902,86
2009,7,20,1,"W","W",10.5520872093023,8.61463341652613,86
2009,7,21,1,"W","W",10.6766511627907,8.78535445669793,86
2009,7,22,1,"W","W",11.5709534883721,9.18804077324172,86
2009,7,23,1,"W","W",11.0276220930233,8.66563547682862,86
2009,7,24,1,"W","W",10.8339651162791,8.48870992235143,86
2009,7,25,1,"W","W",10.8337558139535,7.97023577765654,86
2009,7,26,1,"W","W",11.8096976744186,9.77442215782031,86
2009,7,27,1,"W","W",10.7446220930233,9.59530094213892,86
2009,7,28,1,"W","W",11.2130174418605,9.24554781262714,86
2009,7,29,1,"W","W",11.4632034883721,9.38429514084347,86
2009,7,30,1,"W","W",10.7732965116279,9.54578722953926,86
2009,7,31,1,"W","W",11.5623953488372,10.067891092366,86
2009,8,1,1,"W","W",11.5996279069767,9.88448297234135,86
2009,8,2,1,"W","W",11.27075,9.39622979452241,86
2009,8,3,1,"W","W",10.9240058139535,8.56561258909346,86
2009,8,4,1,"W","W",10.7205174418605,9.18567189333721,86
2009,8,5,1,"W","W",10.0966627906977,7.45792581811334,86
2009,8,6,1,"W","W",10.5073081395349,6.26831296854106,86
2009,8,7,1,"W","W",9.53414534883721,6.14984146991577,86
2009,8,8,1,"W","W",11.1145813953488,8.00602402968447,86
2009,8,9,1,"W","W",10.6201686046512,7.12286697013072,86
2009,8,10,1,"W","W",10.6575406976744,8.37551818492273,86
2009,8,11,1,"W","W",10.5899534883721,8.32228509401393,86
2009,8,12,1,"W","W",10.9873023255814,9.05466377628908,86
2009,8,13,1,"W","W",11.0324709302326,8.87222179758913,86
2009,8,14,1,"W","W",10.7000697674419,8.56651606381181,86
2009,8,15,1,"W","W",11.120523255814,8.95825973872781,86
2009,8,16,1,"W","W",11.1530755813953,8.72689208121433,86
2009,8,17,1,"W","W",11.0520465116279,9.10855585396884,86
2009,8,18,1,"W","W",11.9123779069767,9.37426992041515,86
2009,8,19,1,"W","W",11.6857790697674,9.57164110693811,86
2009,8,20,1,"W","W",11.9378139534884,9.93902831268095,86
2009,8,21,1,"W","W",11.3964244186047,9.49508602864024,86
2009,8,22,1,"W","W",11.852511627907,9.16318089259682,86
2009,8,23,1,"W","W",11.9821860465116,9.05393552487033,86
2009,8,24,1,"W","W",11.7720581395349,9.0641071191358,86
2009,8,25,1,"W","W",12.2511627906977,8.96738562184288,86
2009,8,26,1,"W","W",12.0102674418605,8.98864434642159,86
2009,8,27,1,"W","W",11.0333430232558,8.04497456518541,86
2009,8,28,1,"W","W",11.2667151162791,9.72553241837318,86
2009,8,29,1,"W","W",11.3258372093023,8.5055073682194,86
2009,8,30,1,"W","W",13.9727093023256,10.8039396029371,86
2009,8,31,1,"W","W",12.4743081395349,10.1631735638641,86
2009,9,1,1,"W","W",11.869476744186,9.0118113495264,86
2009,9,2,1,"W","W",12.7768953488372,9.86480129763699,86
2009,9,3,1,"W","W",12.1029941860465,9.00009733264172,86
2009,9,4,1,"W","W",12.1868139534884,8.67681074136402,86
2009,9,5,1,"W","W",12.6635174418605,11.9572347357641,86
2009,9,6,1,"W","W",12.9722790697674,10.9897217835588,86
2009,9,7,1,"W","W",11.8317441860465,9.28708159717642,86
2009,9,8,1,"W","W",11.6737325581395,9.30857462984522,86
2009,9,9,1,"W","W",11.3039069767442,8.9273804762492,86
2009,9,10,1,"W","W",10.493523255814,9.31877955178396,86
2009,9,11,1,"W","W",10.8883488372093,9.12624601970466,86
2009,9,12,1,"W","W",12.0593546511628,9.44878423890243,86
2009,9,13,1,"W","W",12.2854244186047,9.66716012089609,86
2009,9,14,1,"W","W",11.1964651162791,8.25047496735819,86
2009,9,15,1,"W","W",11.1778430232558,8.87960285653442,86
2009,9,16,1,"W","W",11.7929069767442,8.84899173934576,86
2009,9,17,1,"W","W",11.8556569767442,9.91427969477586,86
2009,9,18,1,"W","W",11.9709127906977,9.26344190199932,86
2009,9,19,1,"W","W",12.2380813953488,7.94626760733708,86
2009,9,20,1,"W","W",11.7028372093023,6.91951201630401,86
2009,9,21,1,"W","W",11.2182441860465,6.88277264357912,86
2009,9,22,1,"W","W",11.6256802325581,6.96396165137632,86
2009,9,23,1,"W","W",11.0587325581395,6.37262420491316,86
2009,9,24,1,"W","W",11.2168139534884,7.23245229871686,86
2009,9,25,1,"W","W",10.7733430232558,6.32335691388384,86
2009,9,26,1,"W","W",11.8567790697674,8.41506004263807,86
2009,9,27,1,"W","W",11.8888081395349,7.17030953887939,86
2009,9,28,1,"W","W",11.5702441860465,7.45670747351363,86
2009,9,29,1,"W","W",11.0409709302326,6.69716034351814,86
2009,9,30,1,"W","W",11.8781046511628,8.24554059302798,86
2009,10,1,1,"W","W",11.2968139534884,9.35857358696434,86
2009,10,2,1,"W","W",11.4908197674419,8.34785260690112,86
2009,10,3,1,"W","W",12.6499302325581,8.99196110526534,86
2009,10,4,1,"W","W",12.9252325581395,9.32064107164614,86
2009,10,5,1,"W","W",11.5811860465116,8.27231542771235,86
2009,10,6,1,"W","W",12.0750465116279,8.78963031800672,86
2009,10,7,1,"W","W",12.0104709302326,8.49928881985209,86
2009,10,8,1,"W","W",11.7695174418605,9.22060927470365,86
2009,10,9,1,"W","W",12.3571744186047,8.96884702235447,86
2009,10,10,1,"W","W",12.4860581395349,10.2846656554133,86
2009,10,11,1,"W","W",13.1540523255814,10.5552926554098,86
2009,10,12,1,"W","W",11.6378779069767,8.76864145421427,86
2009,10,13,1,"W","W",11.9254011627907,8.35661660595601,86
2009,10,14,1,"W","W",12.0001453488372,9.17289679560077,86
2009,10,15,1,"W","W",11.8001627906977,8.95780005569969,86
2009,10,16,1,"W","W",11.9029534883721,8.67405036186464,86
2009,10,17,1,"W","W",12.0975813953488,9.73034265851519,86
2009,10,18,1,"W","W",13.4361395348837,10.5398877599368,86
2009,10,19,1,"W","W",13.3838837209302,10.014390979008,86
2009,10,20,1,"W","W",12.7303720930233,9.62749618882294,86
2009,10,21,1,"W","W",12.8715523255814,9.04127064567842,86
2009,10,22,1,"W","W",12.4513779069767,8.82459482820468,86
2009,10,23,1,"W","W",12.3947151162791,8.47619966714436,86
2009,10,24,1,"W","W",13.9268546511628,9.89830197050047,86
2009,10,25,1,"W","W",14.3414418604651,10.3384994221822,86
2009,10,26,1,"W","W",13.3327325581395,9.7177987875183,86
2009,10,27,1,"W","W",13.0998197674419,9.60364891771774,86
2009,10,28,1,"W","W",13.361226744186,9.66365094649167,86
2009,10,29,1,"W","W",13.7955988372093,9.723999880774,86
2009,10,30,1,"W","W",12.8263488372093,9.88659745760116,86
2009,10,31,1,"W","W",13.6275813953488,10.9632368097309,86
2009,11,1,1,"W","W",13.8544127906977,9.68672435898797,86
2009,11,2,1,"W","W",13.0318953488372,7.33782560520817,86
2009,11,3,1,"W","W",12.3118139534884,6.77739705806193,86
2009,11,4,1,"W","W",12.7613779069767,7.65446227063436,86
2009,11,5,1,"W","W",12.9291104651163,7.44869641117754,86
2009,11,6,1,"W","W",12.2286279069767,7.38638231245853,86
2009,11,7,1,"W","W",13.6369825581395,6.76482537988088,86
2009,11,8,1,"W","W",14.3574069767442,8.09714991815807,86
2009,11,9,1,"W","W",13.585238372093,8.00040937141077,86
2009,11,10,1,"W","W",12.7692674418605,7.38300362983939,86
2009,11,11,1,"W","W",12.7540755813953,7.42804919466329,86
2009,11,12,1,"W","W",13.2994647058824,7.71907892620471,85
2009,11,13,1,"W","W",12.5381235294118,6.94396446302294,85
2009,11,14,1,"W","W",13.2608895348837,7.89810355770562,86
2009,11,15,1,"W","W",14.458488372093,8.23641257500774,86
2009,11,16,1,"W","W",12.859238372093,7.2909383656244,86
2009,11,17,1,"W","W",12.8960290697674,7.80080352812703,86
2009,11,18,1,"W","W",13.0843588235294,7.17552989606731,85
2009,11,19,1,"W","W",12.3243837209302,7.07844799027484,86
2009,11,20,1,"W","W",12.5549825581395,6.66469909009078,86
2009,11,21,1,"W","W",13.7331529411765,8.25398765353231,85
2009,11,22,1,"W","W",14.5720647058824,9.07877296348736,85
2009,11,23,1,"W","W",13.0460294117647,7.87092037273949,85
2009,11,24,1,"W","W",13.4820465116279,8.26854588632619,86
2009,11,25,1,"W","W",13.276,8.15756380752302,85
2009,11,26,1,"W","W",12.6603662790698,6.98825726799415,86
2009,11,27,1,"W","W",13.6933139534884,8.03752712484546,86
2009,11,28,1,"W","W",14.6916453488372,8.77721337088469,86
2009,11,29,1,"W","W",15.783261627907,9.71361242118404,86
2009,11,30,1,"W","W",13.9080348837209,8.03888594483483,86
2009,12,1,1,"W","W",14.3880465116279,8.01842298769377,86
2009,12,2,1,"W","W",13.6560581395349,8.0596408194011,86
2009,12,3,1,"W","W",13.5850290697674,7.9234097722971,86
2009,12,4,1,"W","W",13.3471976744186,7.48833176320062,86
2009,12,5,1,"W","W",15.3878255813953,9.47442083183094,86
2009,12,6,1,"W","W",14.8095697674419,8.70403373228311,86
2009,12,7,1,"W","W",13.7113546511628,8.03941709580924,86
2009,12,8,1,"W","W",14.7215872093023,9.29155386713301,86
2009,12,9,1,"W","W",12.9880523255814,7.43531034244074,86
2009,12,10,1,"W","W",14.252976744186,8.14655073632104,86
2009,12,11,1,"W","W",12.9750930232558,6.59439106340587,86
2009,12,12,1,"W","W",15.0497965116279,9.25963683266311,86
2009,12,13,1,"W","W",15.0568488372093,8.58240229192331,86
2009,12,14,1,"W","W",14.6035523255814,8.94855680576781,86
2009,12,15,1,"W","W",14.0411802325581,8.29046895179419,86
2009,12,16,1,"W","W",14.8006279069767,8.95443858528076,86
2009,12,17,1,"W","W",14.2935058139535,8.49919620853303,86
2009,12,18,1,"W","W",13.9310930232558,8.49391771955315,86
2009,12,19,1,"W","W",15.3371627906977,10.546110214739,86
2009,12,20,1,"W","W",15.7015058139535,9.63668558395901,86
2009,12,21,1,"W","W",14.5954593023256,8.60581596371113,86
2009,12,22,1,"W","W",14.8190639534884,9.50098262899423,86
2009,12,23,1,"W","W",15.5703662790698,9.50844109615068,86
2009,12,24,1,"W","W",17.7188197674419,11.0571086088417,86
2009,12,25,1,"W","W",19.8421220930233,13.9127291252072,86
2009,12,26,1,"W","W",15.1373546511628,10.4940207364413,86
2009,12,27,1,"W","W",14.0925406976744,8.82294572798181,86
2009,12,28,1,"W","W",14.6620697674419,9.48746659799213,86
2009,12,29,1,"W","W",16.1481511627907,10.6255279318169,86
2009,12,30,1,"W","W",14.7744593023256,9.11800851715507,86
2009,12,31,1,"W","W",14.853488372093,9.83841734103274,86
2010,1,1,1,"W","W",15.6055697674419,10.4450419333382,86
2010,1,2,1,"W","W",14.6838546511628,9.39125829753277,86
2010,1,3,1,"W","W",15.2407558139535,9.069300428869,86
2010,1,4,1,"W","W",15.5673197674419,9.78544378653758,86
2010,1,5,1,"W","W",14.9536220930233,9.19512123066807,86
2010,1,6,1,"W","W",16.0370697674419,9.27541614895265,86
2010,1,7,1,"W","W",15.7037441860465,10.0772657331897,86
2010,1,8,1,"W","W",15.3229186046512,9.64608358529374,86
2010,1,9,1,"W","W",16.5785174418605,10.0097662346941,86
2010,1,10,1,"W","W",17.5105465116279,12.5765851248935,86
2010,1,11,1,"W","W",16.5955697674419,9.85437710574007,86
2010,1,12,1,"W","W",16.7092790697674,9.85318654028606,86
2010,1,13,1,"W","W",15.0430639534884,9.19319187218471,86
2010,1,14,1,"W","W",13.340773255814,7.8220218402003,86
2010,1,15,1,"W","W",13.2229011627907,8.27582740552258,86
2010,1,16,1,"W","W",14.0920348837209,8.55593924496164,86
2010,1,17,1,"W","W",13.8833313953488,7.69369795681178,86
2010,1,18,1,"W","W",13.4438197674419,7.86981060311484,86
2010,1,19,1,"W","W",13.254011627907,7.38355499980581,86
2010,1,20,1,"W","W",13.1837558139535,7.24265149397657,86
2010,1,21,1,"W","W",13.862226744186,8.88001030260961,86
2010,1,22,1,"W","W",13.0405348837209,7.50154979665602,86
2010,1,23,1,"W","W",15.189726744186,8.19485589316535,86
2010,1,24,1,"W","W",14.9244825581395,8.62940448202529,86
2010,1,25,1,"W","W",14.0299244186047,8.55019384249388,86
2010,1,26,1,"W","W",13.67975,8.13304698265409,86
2010,1,27,1,"W","W",13.3363197674419,8.14263674555578,86
2010,1,28,1,"W","W",12.5846918604651,6.88958521980763,86
2010,1,29,1,"W","W",12.8890465116279,7.20595685879068,86
2010,1,30,1,"W","W",14.4836647058824,8.30018010826825,85
2010,1,31,1,"W","W",15.8995705882353,9.34160817836272,85
2010,2,1,1,"W","W",14.0548720930233,9.06636073210325,86
2010,2,2,1,"W","W",12.7577093023256,8.11643462961747,86
2010,2,3,1,"W","W",13.4451453488372,7.96391479622719,86
