,ts,date,year,month,day,hour,minute,tz,hour_cer,day_cer
0,2009-01-01 00:00:00+00:00,1/1/09,2009,1,1,0,0,GMT,1,1
1,2009-01-01 00:30:00+00:00,1/1/09,2009,1,1,0,30,GMT,2,1
2,2009-01-01 01:00:00+00:00,1/1/09,2009,1,1,1,0,GMT,3,1
3,2009-01-01 01:30:00+00:00,1/1/09,2009,1,1,1,30,GMT,4,1
4,2009-01-01 02:00:00+00:00,1/1/09,2009,1,1,2,0,GMT,5,1
5,2009-01-01 02:30:00+00:00,1/1/09,2009,1,1,2,30,GMT,6,1
6,2009-01-01 03:00:00+00:00,1/1/09,2009,1,1,3,0,GMT,7,1
7,2009-01-01 03:30:00+00:00,1/1/09,2009,1,1,3,30,GMT,8,1
8,2009-01-01 04:00:00+00:00,1/1/09,2009,1,1,4,0,GMT,9,1
9,2009-01-01 04:30:00+00:00,1/1/09,2009,1,1,4,30,GMT,10,1
10,2009-01-01 05:00:00+00:00,1/1/09,2009,1,1,5,0,GMT,11,1
11,2009-01-01 05:30:00+00:00,1/1/09,2009,1,1,5,30,GMT,12,1
12,2009-01-01 06:00:00+00:00,1/1/09,2009,1,1,6,0,GMT,13,1
13,2009-01-01 06:30:00+00:00,1/1/09,2009,1,1,6,30,GMT,14,1
14,2009-01-01 07:00:00+00:00,1/1/09,2009,1,1,7,0,GMT,15,1
15,2009-01-01 07:30:00+00:00,1/1/09,2009,1,1,7,30,GMT,16,1
16,2009-01-01 08:00:00+00:00,1/1/09,2009,1,1,8,0,GMT,17,1
17,2009-01-01 08:30:00+00:00,1/1/09,2009,1,1,8,30,GMT,18,1
18,2009-01-01 09:00:00+00:00,1/1/09,2009,1,1,9,0,GMT,19,1
19,2009-01-01 09:30:00+00:00,1/1/09,2009,1,1,9,30,GMT,20,1
20,2009-01-01 10:00:00+00:00,1/1/09,2009,1,1,10,0,GMT,21,1
21,2009-01-01 10:30:00+00:00,1/1/09,2009,1,1,10,30,GMT,22,1
22,2009-01-01 11:00:00+00:00,1/1/09,2009,1,1,11,0,GMT,23,1
23,2009-01-01 11:30:00+00:00,1/1/09,2009,1,1,11,30,GMT,24,1
24,2009-01-01 12:00:00+00:00,1/1/09,2009,1,1,12,0,GMT,25,1
25,2009-01-01 12:30:00+00:00,1/1/09,2009,1,1,12,30,GMT,26,1
26,2009-01-01 13:00:00+00:00,1/1/09,2009,1,1,13,0,GMT,27,1
27,2009-01-01 13:30:00+00:00,1/1/09,2009,1,1,13,30,GMT,28,1
28,2009-01-01 14:00:00+00:00,1/1/09,2009,1,1,14,0,GMT,29,1
29,2009-01-01 14:30:00+00:00,1/1/09,2009,1,1,14,30,GMT,30,1
30,2009-01-01 15:00:00+00:00,1/1/09,2009,1,1,15,0,GMT,31,1
31,2009-01-01 15:30:00+00:00,1/1/09,2009,1,1,15,30,GMT,32,1
32,2009-01-01 16:00:00+00:00,1/1/09,2009,1,1,16,0,GMT,33,1
33,2009-01-01 16:30:00+00:00,1/1/09,2009,1,1,16,30,GMT,34,1
34,2009-01-01 17:00:00+00:00,1/1/09,2009,1,1,17,0,GMT,35,1
35,2009-01-01 17:30:00+00:00,1/1/09,2009,1,1,17,30,GMT,36,1
36,2009-01-01 18:00:00+00:00,1/1/09,2009,1,1,18,0,GMT,37,1
37,2009-01-01 18:30:00+00:00,1/1/09,2009,1,1,18,30,GMT,38,1
38,2009-01-01 19:00:00+00:00,1/1/09,2009,1,1,19,0,GMT,39,1
39,2009-01-01 19:30:00+00:00,1/1/09,2009,1,1,19,30,GMT,40,1
40,2009-01-01 20:00:00+00:00,1/1/09,2009,1,1,20,0,GMT,41,1
41,2009-01-01 20:30:00+00:00,1/1/09,2009,1,1,20,30,GMT,42,1
42,2009-01-01 21:00:00+00:00,1/1/09,2009,1,1,21,0,GMT,43,1
43,2009-01-01 21:30:00+00:00,1/1/09,2009,1,1,21,30,GMT,44,1
44,2009-01-01 22:00:00+00:00,1/1/09,2009,1,1,22,0,GMT,45,1
45,2009-01-01 22:30:00+00:00,1/1/09,2009,1,1,22,30,GMT,46,1
